Motor Speed [RPM],Continuous Power [kW],Peak Power [kW]
0,0,0
5.005005005,0.077834793,0.116106465
10.01001001,0.155628045,0.231971991
15.01501502,0.233379965,0.347597791
20.02002002,0.311090762,0.462985076
25.02502503,0.388760644,0.578135057
30.03003003,0.466389821,0.693048948
35.03503504,0.543978501,0.80772796
40.04004004,0.621526895,0.922173305
45.04504505,0.699035209,1.036386195
50.05005005,0.776503654,1.150367842
55.05505506,0.853932439,1.264119458
60.06006006,0.931321772,1.377642255
65.06506507,1.008671863,1.490937445
70.07007007,1.08598292,1.604006239
75.07507508,1.163255152,1.716849851
80.08008008,1.240488768,1.829469491
85.08508509,1.317683978,1.941866372
90.09009009,1.39484099,2.054041705
95.0950951,1.471960013,2.165996703
100.1001001,1.549041256,2.277732578
105.1051051,1.626084928,2.389250541
110.1101101,1.703091238,2.500551805
115.1151151,1.780060396,2.611637582
120.1201201,1.856992609,2.722509082
125.1251251,1.933888087,2.83316752
130.1301301,2.010747039,2.943614106
135.1351351,2.087569673,3.053850052
140.1401401,2.1643562,3.16387657
145.1451451,2.241106827,3.273694873
150.1501502,2.317821764,3.383306172
155.1551552,2.39450122,3.492711679
160.1601602,2.471145403,3.601912607
165.1651652,2.547754523,3.710910166
170.1701702,2.624328788,3.81970557
175.1751752,2.700868408,3.92830003
180.1801802,2.777373591,4.036694758
185.1851852,2.853844547,4.144890966
190.1901902,2.930281484,4.252889866
195.1951952,3.006684612,4.36069267
200.2002002,3.083054139,4.46830059
205.2052052,3.159390274,4.575714838
210.2102102,3.235693226,4.682936626
215.2152152,3.311963204,4.789967165
220.2202202,3.388200418,4.896807669
225.2252252,3.464405075,5.003459348
230.2302302,3.540577386,5.109923414
235.2352352,3.616717559,5.216201081
240.2402402,3.692825803,5.322293559
245.2452452,3.768902326,5.428202061
250.2502503,3.844947339,5.533927798
255.2552553,3.920961049,5.639471983
260.2602603,3.996943666,5.744835828
265.2652653,4.072895399,5.850020544
270.2702703,4.148816457,5.955027343
275.2752753,4.224707048,6.059857438
280.2802803,4.300567383,6.16451204
285.2852853,4.376397668,6.268992361
290.2902903,4.452198114,6.373299614
295.2952953,4.52796893,6.47743501
300.3003003,4.603710324,6.581399762
305.3053053,4.679422506,6.68519508
310.3103103,4.755105684,6.788822178
315.3153153,4.830760068,6.892282267
320.3203203,4.906385866,6.995576559
325.3253253,4.981983287,7.098706266
330.3303303,5.05755254,7.2016726
335.3353353,5.133093835,7.304476773
340.3403403,5.208607379,7.407119997
345.3453453,5.284093383,7.509603484
350.3503504,5.359552055,7.611928446
355.3553554,5.434983604,7.714096095
360.3603604,5.510388239,7.816107642
365.3653654,5.585766169,7.917964301
370.3703704,5.661117603,8.019667282
375.3753754,5.73644275,8.121217798
380.3803804,5.811741818,8.22261706
385.3853854,5.887015018,8.323866282
390.3903904,5.962262557,8.424966674
395.3953954,6.037484645,8.525919448
400.4004004,6.11268149,8.626725817
405.4054054,6.187853303,8.727386993
410.4104104,6.26300029,8.827904187
415.4154154,6.338122663,8.928278611
420.4204204,6.413220629,9.028511478
425.4254254,6.488294397,9.128603999
430.4304304,6.563344177,9.228557387
435.4354354,6.638370177,9.328372853
440.4404404,6.713372607,9.428051609
445.4454454,6.788351675,9.527594867
450.4504505,6.86330759,9.62700384
455.4554555,6.938240561,9.726279739
460.4604605,7.013150798,9.825423776
465.4654655,7.088038508,9.924437163
470.4704705,7.162903902,10.02332111
475.4754755,7.237747188,10.12207684
480.4804805,7.312568575,10.22070554
485.4854855,7.387368272,10.31920845
490.4904905,7.462146488,10.41758677
495.4954955,7.536903432,10.51584171
500.5005005,7.611639313,10.61397448
505.5055055,7.686354339,10.7119863
510.5105105,7.761048721,10.80987838
515.5155155,7.835722666,10.90765192
520.5205205,7.910376384,11.00530815
525.5255255,7.985010083,11.10284827
530.5305305,8.059623973,11.2002735
535.5355355,8.134218263,11.29758504
540.5405405,8.208793161,11.39478412
545.5455455,8.283348877,11.49187194
550.5505506,8.357885619,11.58884971
555.5555556,8.432403597,11.68571864
560.5605606,8.506903019,11.78247995
565.5655656,8.581384094,11.87913486
570.5705706,8.655847032,11.97568456
575.5755756,8.730292041,12.07213028
580.5805806,8.80471933,12.16847322
585.5855856,8.879129109,12.2647146
590.5905906,8.953521585,12.36085563
595.5955956,9.027896969,12.45689752
600.6006006,9.102255469,12.55284148
605.6056056,9.176597293,12.64868873
610.6106106,9.250922652,12.74444047
615.6156156,9.325231754,12.84009793
620.6206206,9.399524807,12.9356623
625.6256256,9.473802022,13.03113481
630.6306306,9.548063606,13.12651666
635.6356356,9.622309769,13.22180907
640.6406406,9.69654072,13.31701325
645.6456456,9.770756668,13.41213041
650.6506507,9.844957821,13.50716177
655.6556557,9.919144388,13.60210852
660.6606607,9.99331658,13.6969719
665.6656657,10.0674746,13.7917531
670.6706707,10.14161867,13.88645335
675.6756757,10.21574898,13.98107384
680.6806807,10.28986576,14.0756158
685.6856857,10.3639692,14.17008044
690.6906907,10.43805952,14.26446897
695.6956957,10.51213693,14.35878259
700.7007007,10.58620163,14.45302253
705.7057057,10.66025384,14.54719
710.7107107,10.73429376,14.6412862
715.7157157,10.8083216,14.73531235
720.7207207,10.88233758,14.82926966
725.7257257,10.95634189,14.92315934
730.7307307,11.03033475,15.0169826
735.7357357,11.10431637,15.11074066
740.7407407,11.17828696,15.20443473
745.7457457,11.25224672,15.29806603
750.7507508,11.32619587,15.39163575
755.7557558,11.40013461,15.48514511
760.7607608,11.47406316,15.57859534
765.7657658,11.54798171,15.67198763
770.7707708,11.62189049,15.7653232
775.7757758,11.6957897,15.85860326
780.7807808,11.76967954,15.95182903
