200N,,,440N,,,660N,,,880N,,,1100N,WARMUP,,1100N,
SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N]
0.032,11.64,,0.03,33.14,,0.048,52.93,,0.015,58.62,,0.008,59.64,,0.011,54.84
0.043,20.98,,0.065,45.1,,0.079,68.25,,0.045,78.62,,0.019,81.74,,0.056,75.59
0.076,29.58,,0.13,57.72,,0.129,86.08,,0.099,99.96,,0.077,104.54,,0.077,94.82
0.135,38.7,,0.165,70.96,,0.181,103.43,,0.143,119.64,,0.106,124.68,,0.126,117.13
0.173,46.53,,0.194,84.39,,0.213,119.63,,0.165,138.86,,0.14,144.74,,0.161,136.46
0.176,54.99,,0.266,99.82,,0.237,138.69,,0.244,159.58,,0.193,164.8,,0.215,155.81
0.242,60.95,,0.279,112.34,,0.298,155.58,,0.248,178.37,,0.26,184.8,,0.248,177.87
0.265,66.28,,0.321,127.19,,0.345,173.95,,0.317,198.54,,0.294,204.8,,0.293,197.79
0.331,75.24,,0.387,139.88,,0.376,190.93,,0.365,218.44,,0.304,226.87,,0.356,220.45
0.369,82.78,,0.418,150.25,,0.411,208.35,,0.392,238.12,,0.367,250.32,,0.381,245.22
0.414,91.75,,0.45,162.13,,0.452,225.25,,0.45,257.59,,0.427,272.95,,0.413,266.59
0.454,102.14,,0.504,172.69,,0.501,241.48,,0.468,276.05,,0.456,295.69,,0.454,288.69
0.514,112,,0.542,185.89,,0.557,259.06,,0.538,296.14,,0.484,318.5,,0.509,310.88
0.534,121.96,,0.581,201.28,,0.585,273.88,,0.579,315.97,,0.539,339.86,,0.547,331.63
0.584,134.48,,0.631,215.79,,0.634,290.33,,0.594,334.9,,0.567,362.53,,0.582,353.11
0.62,144.4,,0.684,230.96,,0.667,305.99,,0.648,353.64,,0.605,380.58,,0.612,373.12
0.686,151.35,,0.716,246.64,,0.738,323.58,,0.674,372.03,,0.642,402.81,,0.66,391.05
0.718,160.77,,0.742,261.08,,0.741,339.38,,0.728,391.03,,0.719,422.11,,0.708,411.16
0.739,166.6,,0.801,275.17,,0.779,358.13,,0.778,409.64,,0.728,440.82,,0.74,430.95
0.796,173.71,,0.807,287.52,,0.814,374.77,,0.811,428.99,,0.784,461.5,,0.774,450.97
0.832,180.21,,0.875,298.23,,0.861,391.47,,0.83,447.43,,0.842,482.06,,0.816,470.87
0.864,187.7,,0.89,307.45,,0.92,409.18,,0.871,466.12,,0.865,501.94,,0.875,489.49
0.92,197.26,,0.93,318.47,,0.946,424.32,,0.912,483.7,,0.902,522.53,,0.888,512.22
0.967,205.42,,0.981,,,,439.52,,0.946,502.51,,0.941,542.55,,0.935,531.58
0.977,213.07,,1.027,,,,453.46,,1.009,520.25,,0.969,565.5,,0.995,550.95
1.024,223.66,,1.065,,,,466.27,,1.051,538.44,,1.026,584.79,,1.002,571.03
1.062,232.9,,1.114,,,,481.05,,1.088,556.39,,1.041,604.85,,1.058,590.53
1.112,239.47,,1.136,,,,493.87,,1.101,575.11,,1.113,625.69,,1.107,611.25
1.123,246.01,,1.18,,,,508.58,,1.151,591.7,,1.11,644.4,,1.148,631.29
1.192,253.42,,1.231,,,,523.16,,1.202,610.92,,1.165,662.32,,1.16,647.69
1.227,257.52,,1.27,,,,538.5,,1.236,628.86,,1.199,682.29,,1.232,669.09
1.245,264.32,,1.304,,,,552.78,,1.276,643.95,,1.243,702.32,,1.255,686.83
1.3,268.85,,1.318,,,,567.51,,1.336,660.66,,1.288,722.09,,1.303,706.15
1.34,273.39,,1.371,,,,581.78,,1.366,676.36,,1.349,740.58,,1.331,725.34
1.376,281.01,,1.421,,,,594.21,,1.38,690.77,,1.371,759.2,,1.366,744.69
1.426,288.89,,1.452,,,,605.07,,1.442,706.49,,1.401,780.68,,1.436,764.19
1.461,296.98,,1.514,,,,616.09,,1.484,721.72,,1.456,799.38,,1.457,782.89
1.52,304.62,,1.544,,,,626.44,,1.5,738.38,,1.458,816.68,,1.48,801.52
1.547,314.04,,1.551,,,,636.05,,1.557,755.17,,1.518,836.08,,1.529,819.51
1.568,319.61,,1.626,,,,648.93,,1.598,770.98,,1.579,853.31,,1.567,838.23
1.613,327.37,,1.633,,,,663.19,,1.613,786.97,,1.591,872.05,,1.612,857.42
1.654,331.44,,1.703,,,,676.23,,1.676,802.03,,1.651,891.2,,1.635,873.89
1.697,336.22,,1.713,,,,691.61,,1.699,816.49,,1.69,909.75,,1.688,892.49
1.756,339.23,,1.785,,,,705.09,,1.746,829.53,,1.714,926.33,,1.729,908.92
1.771,339.86,,1.788,,,,718.25,,1.781,844.03,,1.754,942.84,,1.771,926.82
1.822,344.18,,1.833,,,,727.95,,1.829,856.25,,1.8,960.55,,1.805,944.76
1.865,347.12,,1.893,,,,736.38,,1.885,870.69,,1.835,977.92,,1.846,962.75
1.91,352.27,,1.919,,,,744.37,,1.936,884.48,,1.885,995.76,,1.897,981.47
1.944,358.8,,1.981,,,,752.64,,1.951,899.15,,1.936,1012.53,,1.929,997.36
1.992,367.49,,2.006,,,,761.53,,2.016,914.94,,1.962,1029.68,,1.992,1013.97
2.024,374.79,,2.053,,,,771.81,,2.046,929.58,,2.013,1047.12,,2.037,1031.2
2.065,382.18,,2.101,,,,783.5,,2.094,945.37,,2.067,1063.77,,2.058,1047.69
2.109,386.49,,2.143,,,,797.93,,2.114,958.7,,2.091,1080.23,,2.105,1063.46
2.166,386.17,,2.184,,,,810.51,,2.152,971.76,,2.123,1096.79,,2.141,1080.03
2.175,385.33,,2.237,,,,823.99,,2.208,982.8,,2.192,1109.79,,2.201,1096.48
2.223,382.68,,2.273,,,,834.9,,2.261,994.39,,2.205,1126.93,,2.238,1113.03
2.28,380.71,,2.291,,,,844.65,,2.284,1004.4,,2.241,1141.98,,2.254,1130.23
2.306,380.78,,2.335,,,,852.62,,2.328,1017.69,,2.281,1157.87,,2.311,1146.25
2.334,385.43,,2.39,,,,860.77,,2.354,1028.7,,2.35,1173.74,,2.347,1162.14
2.409,391.54,,2.433,,,,867.48,,2.405,1041.56,,2.353,1189.62,,2.387,1177.41
2.42,400.39,,2.461,,,,874.57,,2.442,1057.8,,2.404,1206.93,,2.407,1192.57
2.466,408.74,,2.49,,,,886.38,,2.455,1070.27,,2.433,1222.3,,2.466,1206.4
2.501,416.89,,2.523,,,,895.2,,2.508,1084.07,,2.49,1239.47,,2.504,1221.55
2.54,421.27,,2.553,,,,907.21,,2.547,1095.96,,2.503,1253.3,,2.527,1233.76
