222.4N,,,444.8N,,,667.2N,,,889.6N,,,1112.1N (initial),
SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N]
-12.048,-383.2103,,-12.092,-771.8356,,-12.097,-1111.3325,,-12.137,-1421.7316,,-12.14,-1716.5528
-12.047,-383.6692,,-12.085,-772.1783,,-12.081,-1111.391,,-12.132,-1421.8063,,-12.134,-1716.722
-12.045,-383.0304,,-12.046,-772.6301,,-12.081,-1111.1608,,-12.132,-1421.8268,,-12.124,-1716.7264
-12.026,-383.6896,,-12.032,-772.1606,,-12.05,-1111.3945,,-12.127,-1421.8994,,-12.122,-1716.6743
-11.988,-383.2342,,-12.025,-771.8502,,-12.025,-1111.3122,,-12.123,-1422.0098,,-12.118,-1716.7764
-11.981,-383.9253,,-11.987,-772.2747,,-12.002,-1111.6308,,-12.115,-1422.1553,,-12.114,-1716.8085
-11.96,-383.7789,,-11.967,-772.5515,,-11.988,-1111.6889,,-12.096,-1422.1062,,-12.074,-1716.6845
-11.94,-384.3171,,-11.958,-772.4043,,-11.958,-1111.9352,,-12.091,-1422.3333,,-12.038,-1716.6684
-11.905,-384.5154,,-11.914,-772.4776,,-11.911,-1112.0368,,-12.063,-1422.1061,,-12.023,-1716.5215
-11.861,-384.735,,-11.883,-772.4654,,-11.876,-1112.228,,-12.009,-1422.3999,,-12.016,-1716.5304
-11.83,-385.2171,,-11.841,-772.3468,,-11.851,-1112.1911,,-11.978,-1422.065,,-11.948,-1716.3591
-11.815,-385.1198,,-11.828,-772.4578,,-11.81,-1112.4297,,-11.949,-1422.363,,-11.94,-1716.1623
-11.808,-385.7166,,-11.78,-772.1859,,-11.762,-1112.6313,,-11.914,-1421.9732,,-11.915,-1716.2476
-11.804,-385.3468,,-11.773,-772.328,,-11.733,-1112.4986,,-11.903,-1421.5784,,-11.864,-1716.4237
-11.795,-384.848,,-11.744,-771.9757,,-11.725,-1112.6377,,-11.868,-1421.7824,,-11.824,-1716.2253
-11.792,-385.3862,,-11.74,-772.1027,,-11.721,-1112.4714,,-11.824,-1421.9006,,-11.821,-1716.4306
-11.79,-384.9028,,-11.738,-771.8028,,-11.72,-1112.3263,,-11.794,-1421.5369,,-11.748,-1716.2343
-11.782,-385.2407,,-11.736,-771.8072,,-11.713,-1112.3782,,-11.751,-1421.5728,,-11.716,-1716.0849
-11.774,-385.2903,,-11.731,-771.6372,,-11.713,-1112.333,,-11.721,-1421.256,,-11.711,-1716.2743
-11.772,-384.9826,,-11.729,-771.5052,,-11.704,-1112.2686,,-11.718,-1421.0243,,-11.711,-1716.4522
-11.77,-384.9244,,-11.728,-771.5226,,-11.704,-1112.2978,,-11.71,-1421.0293,,-11.703,-1716.3853
-11.763,-384.7172,,-11.728,-771.2639,,-11.704,-1112.1749,,-11.697,-1421.0345,,-11.69,-1716.5455
-11.761,-384.9154,,-11.72,-770.9278,,-11.698,-1112.017,,-11.696,-1420.9166,,-11.69,-1716.5132
-11.76,-384.5086,,-11.714,-771.1217,,-11.697,-1112.1305,,-11.689,-1420.9587,,-11.687,-1716.3897
-11.745,-384.8966,,-11.712,-770.7792,,-11.692,-1111.9777,,-11.678,-1420.9413,,-11.684,-1716.508
-11.744,-384.4047,,-11.712,-771.0771,,-11.689,-1112.1725,,-11.671,-1421.0011,,-11.682,-1716.1808
-11.744,-384.8939,,-11.704,-771.3786,,-11.688,-1112.0716,,-11.664,-1421.0632,,-11.68,-1716.2647
-11.744,-384.4686,,-11.7,-771.0935,,-11.681,-1112.3275,,-11.664,-1421.1674,,-11.672,-1715.8205
-11.741,-384.9326,,-11.695,-771.3161,,-11.675,-1112.5969,,-11.664,-1421.197,,-11.672,-1715.8621
-11.732,-384.7138,,-11.695,-771.1417,,-11.672,-1112.5778,,-11.658,-1421.3614,,-11.671,-1715.4241
-11.72,-385.0148,,-11.69,-771.2437,,-11.67,-1112.7843,,-11.656,-1421.3442,,-11.669,-1715.4458
-11.714,-385.037,,-11.682,-771.1806,,-11.656,-1112.8718,,-11.653,-1421.3023,,-11.668,-1715.0798
-11.69,-385.2955,,-11.681,-771.1369,,-11.654,-1112.9703,,-11.652,-1421.5299,,-11.668,-1715.1206
-11.688,-385.3591,,-11.676,-771.1761,,-11.654,-1113.1125,,-11.648,-1421.4521,,-11.656,-1714.8696
-11.688,-385.2011,,-11.66,-771.0217,,-11.65,-1113.1126,,-11.645,-1421.72,,-11.656,-1714.976
-11.661,-385.6045,,-11.654,-771.1281,,-11.633,-1113.2664,,-11.643,-1421.9483,,-11.625,-1715.1152
-11.644,-386.024,,-11.635,-770.9087,,-11.622,-1113.2061,,-11.629,-1421.8579,,-11.625,-1714.9401
