222.4N,,,444.8N,,,667.2N,,,889.6N,,,1112.1N (initial),
SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N]
-12.048,-574.8154,,-12.092,-1157.7534,,-12.097,-1666.9988,,-12.137,-2132.5974,,-12.14,-2574.8292
-12.047,-575.5037255,,-12.085,-1158.267451,,-12.081,-1667.086471,,-12.132,-2132.709412,,-12.134,-2575.082941
-12.045,-574.5455769,,-12.046,-1158.945192,,-12.081,-1666.741154,,-12.132,-2132.740192,,-12.124,-2575.089615
-12.026,-575.5343396,,-12.032,-1158.240943,,-12.05,-1667.091698,,-12.127,-2132.849057,,-12.122,-2575.011509
-11.988,-574.8512963,,-12.025,-1157.77537,,-12.025,-1666.968333,,-12.123,-2133.01463,,-12.118,-2575.16463
-11.981,-575.888,,-11.987,-1158.412,,-12.002,-1667.446182,,-12.115,-2133.232909,,-12.114,-2575.212727
-11.96,-575.6683929,,-11.967,-1158.827321,,-11.988,-1667.533393,,-12.096,-2133.159286,,-12.074,-2575.026786
-11.94,-576.475614,,-11.958,-1158.606491,,-11.958,-1667.902807,,-12.091,-2133.5,,-12.038,-2575.002632
-11.905,-576.7731034,,-11.914,-1158.716379,,-11.911,-1668.055172,,-12.063,-2133.159138,,-12.023,-2574.782241
-11.861,-577.1025424,,-11.883,-1158.698136,,-11.876,-1668.342034,,-12.009,-2133.599831,,-12.016,-2574.795593
-11.83,-577.8256667,,-11.841,-1158.520167,,-11.851,-1668.286667,,-11.978,-2133.0975,,-11.948,-2574.538667
-11.815,-577.6796721,,-11.828,-1158.686721,,-11.81,-1668.64459,,-11.949,-2133.544426,,-11.94,-2574.243443
-11.808,-578.5748387,,-11.78,-1158.278871,,-11.762,-1668.946935,,-11.914,-2132.959839,,-11.915,-2574.371452
-11.804,-578.0201587,,-11.773,-1158.492063,,-11.733,-1668.747937,,-11.903,-2132.367619,,-11.864,-2574.635556
-11.795,-577.2720313,,-11.744,-1157.963594,,-11.725,-1668.956563,,-11.868,-2132.673594,,-11.824,-2574.337969
-11.792,-578.0792308,,-11.74,-1158.154,,-11.721,-1668.707077,,-11.824,-2132.850923,,-11.821,-2574.645846
-11.79,-577.3542424,,-11.738,-1157.704242,,-11.72,-1668.489394,,-11.794,-2132.305303,,-11.748,-2574.351515
-11.782,-577.8610448,,-11.736,-1157.710746,,-11.713,-1668.567313,,-11.751,-2132.359254,,-11.716,-2574.127313
-11.774,-577.9354412,,-11.731,-1157.455735,,-11.713,-1668.499559,,-11.721,-2131.883971,,-11.711,-2574.411471
-11.772,-577.473913,,-11.729,-1157.257826,,-11.704,-1668.402899,,-11.718,-2131.536522,,-11.711,-2574.678261
-11.77,-577.3865714,,-11.728,-1157.283857,,-11.704,-1668.446714,,-11.71,-2131.544,,-11.703,-2574.578
-11.763,-577.0757746,,-11.728,-1156.895915,,-11.704,-1668.262394,,-11.697,-2131.55169,,-11.69,-2574.81831
-11.761,-577.3730556,,-11.72,-1156.391667,,-11.698,-1668.025556,,-11.696,-2131.374861,,-11.69,-2574.769861
-11.76,-576.7628767,,-11.714,-1156.682603,,-11.697,-1668.195753,,-11.689,-2131.438082,,-11.687,-2574.584521
-11.745,-577.3448649,,-11.712,-1156.168784,,-11.692,-1667.966486,,-11.678,-2131.411892,,-11.684,-2574.762027
-11.744,-576.6070667,,-11.712,-1156.6156,,-11.689,-1668.2588,,-11.671,-2131.5016,,-11.682,-2574.2712
-11.744,-577.3409211,,-11.704,-1157.067895,,-11.688,-1668.107368,,-11.664,-2131.594868,,-11.68,-2574.397105
-11.744,-576.7028571,,-11.7,-1156.64026,,-11.681,-1668.491299,,-11.664,-2131.751039,,-11.672,-2573.730779
-11.741,-577.3988462,,-11.695,-1156.974103,,-11.675,-1668.895385,,-11.664,-2131.795513,,-11.672,-2573.793077
-11.732,-577.0706329,,-11.695,-1156.712532,,-11.672,-1668.866709,,-11.658,-2132.042152,,-11.671,-2573.136203
-11.72,-577.52225,,-11.69,-1156.8655,,-11.67,-1669.176375,,-11.656,-2132.01625,,-11.669,-2573.168625
-11.714,-577.5555556,,-11.682,-1156.770864,,-11.656,-1669.307654,,-11.653,-2131.953457,,-11.668,-2572.619753
-11.69,-577.9432927,,-11.681,-1156.705366,,-11.654,-1669.455488,,-11.652,-2132.294878,,-11.668,-2572.680854
-11.688,-578.0386747,,-11.676,-1156.764096,,-11.654,-1669.668795,,-11.648,-2132.178193,,-11.656,-2572.304337
-11.688,-577.8016667,,-11.66,-1156.532619,,-11.65,-1669.668929,,-11.645,-2132.58,,-11.656,-2572.463929
