222N,,,667N,,,890N,,,1112N,,
SR,Fx [N],,SR,Fx [N],,SR,Fx [N],,SR,Fx [N],
0.14100,433.43000,,0.13800,1611.31000,,0.14500,2123.65000,,0.14300,2481.25000,
0.14000,417.12000,,0.13800,1595.35000,,0.14500,2096.50000,,0.14300,2473.42000,
0.13900,399.70000,,0.13700,1574.63000,,0.14500,2065.85000,,0.14100,2485.62000,
0.13800,378.74000,,0.13700,1549.59000,,0.14400,2038.11000,,0.13900,2518.36000,
0.13600,361.17000,,0.13700,1520.87000,,0.14300,2025.93000,,0.13700,2548.29000,
0.13400,351.05000,,0.13600,1503.19000,,0.14200,2038.59000,,0.13500,2569.21000,
0.13200,363.98000,,0.13500,1504.76000,,0.14200,2069.83000,,0.13400,2570.25000,
0.13000,393.76000,,0.13500,1530.60000,,0.14100,2109.04000,,0.13200,2554.04000,
0.13000,426.34000,,0.13500,1567.17000,,0.14200,2138.14000,,0.13200,2530.47000,
0.13000,444.17000,,0.13600,1597.48000,,0.14200,2149.69000,,0.13300,2498.94000,
0.13000,443.39000,,0.13600,1614.88000,,0.14200,2145.86000,,0.13300,2465.88000,
0.13000,430.61000,,0.13700,1615.24000,,0.14200,2132.26000,,0.13500,2439.77000,
0.13000,414.95000,,0.13700,1602.07000,,0.14100,2110.66000,,0.13500,2435.23000,
0.12900,398.75000,,0.13800,1587.97000,,0.14100,2086.75000,,0.13400,2454.70000,
0.12700,378.79000,,0.13700,1570.50000,,0.14100,2067.36000,,0.13200,2489.59000,
0.12500,359.06000,,0.13700,1552.72000,,0.14200,2063.20000,,0.13100,2524.59000,
0.12300,348.82000,,0.13600,1544.04000,,0.14200,2083.12000,,0.13000,2547.58000,
0.12100,357.73000,,0.13500,1556.67000,,0.14300,2119.58000,,0.12800,2554.26000,
0.12000,388.00000,,0.13500,1585.54000,,0.14400,2153.65000,,0.12600,2546.06000,
0.11900,423.42000,,0.13500,1621.82000,,0.14500,2175.91000,,0.12400,2530.26000,
0.11900,442.58000,,0.13600,1649.14000,,0.14400,2175.55000,,0.12300,2505.63000,
0.11900,444.34000,,0.13700,1657.38000,,0.14300,2161.69000,,0.12300,2476.99000,
0.11900,429.44000,,0.13600,1646.46000,,0.14100,2136.88000,,0.12200,2454.13000,
0.11800,411.60000,,0.13500,1622.90000,,0.14000,2108.96000,,0.12000,2447.45000,
0.11700,395.44000,,0.13400,1598.37000,,0.13800,2077.80000,,0.11800,2470.18000,
0.11500,377.67000,,0.13200,1571.01000,,0.13700,2055.60000,,0.11600,2504.64000,
0.11400,357.13000,,0.13000,1542.52000,,0.13600,2052.77000,,0.11400,2544.05000,
0.11100,344.66000,,0.12900,1525.86000,,0.13500,2071.92000,,0.11400,2567.46000,
0.10900,350.40000,,0.12800,1529.35000,,0.13400,2106.69000,,0.11400,2571.75000,
0.10800,375.81000,,0.12800,1553.09000,,0.13400,2143.92000,,0.11300,2559.77000,
0.10800,410.31000,,0.12800,1589.09000,,0.13300,2166.63000,,0.11300,2541.71000,
0.10800,435.55000,,0.12700,1617.87000,,0.13100,2170.37000,,0.11300,2515.68000,
0.10800,440.00000,,0.12700,1629.66000,,0.12900,2160.88000,,0.11100,2484.20000,
0.10700,427.90000,,0.12600,1625.39000,,0.12700,2141.96000,,0.11100,2454.86000,
0.10600,409.88000,,0.12400,1610.62000,,0.12600,2116.22000,,0.10800,2440.69000,
0.10500,395.99000,,0.12100,1592.58000,,0.12500,2088.69000,,0.10600,2452.41000,
0.10400,380.13000,,0.11900,1571.49000,,0.12500,2065.88000,,0.10300,2484.94000,
0.10200,360.06000,,0.11800,1546.62000,,0.12500,2063.51000,,0.10300,2521.57000,
