Slip Ratio [%],Longitudinal Force [N],Normal Load [N],Tyre Pressure [kPa],Temperature [C]
0.141,433.43,222.0,200,25
0.14,417.12,222.0,200,25
0.139,399.7,222.0,200,25
0.138,378.74,222.0,200,25
0.136,361.17,222.0,200,25
0.134,351.05,222.0,200,25
0.132,363.98,222.0,200,25
0.13,393.76,222.0,200,25
0.13,426.34,222.0,200,25
0.13,444.17,222.0,200,25
0.13,443.39,222.0,200,25
0.13,430.61,222.0,200,25
0.13,414.95,222.0,200,25
0.129,398.75,222.0,200,25
0.127,378.79,222.0,200,25
0.125,359.06,222.0,200,25
0.123,348.82,222.0,200,25
0.121,357.73,222.0,200,25
0.12,388.0,222.0,200,25
0.119,423.42,222.0,200,25
0.119,442.58,222.0,200,25
0.119,444.34,222.0,200,25
0.119,429.44,222.0,200,25
0.118,411.6,222.0,200,25
0.117,395.44,222.0,200,25
0.115,377.67,222.0,200,25
0.114,357.13,222.0,200,25
0.111,344.66,222.0,200,25
0.109,350.4,222.0,200,25
0.108,375.81,222.0,200,25
0.108,410.31,222.0,200,25
0.108,435.55,222.0,200,25
0.108,440.0,222.0,200,25
0.107,427.9,222.0,200,25
0.106,409.88,222.0,200,25
0.105,395.99,222.0,200,25
0.104,380.13,222.0,200,25
0.102,360.06,222.0,200,25
0.101,344.82,222.0,200,25
0.1,342.93,222.0,200,25
0.099,363.72,222.0,200,25
0.099,395.93,222.0,200,25
0.099,424.48,222.0,200,25
0.099,432.89,222.0,200,25
0.098,424.08,222.0,200,25
0.096,405.21,222.0,200,25
0.094,390.71,222.0,200,25
0.092,375.76,222.0,200,25
0.091,357.03,222.0,200,25
0.09,338.88,222.0,200,25
0.089,330.13,222.0,200,25
0.089,342.46,222.0,200,25
0.089,373.13,222.0,200,25
0.089,406.22,222.0,200,25
0.089,424.29,222.0,200,25
0.088,422.87,222.0,200,25
0.087,406.7,222.0,200,25
0.085,389.88,222.0,200,25
0.084,375.95,222.0,200,25
0.083,361.4,222.0,200,25
0.083,343.32,222.0,200,25
0.082,329.14,222.0,200,25
0.08,326.25,222.0,200,25
0.08,343.86,222.0,200,25
0.078,372.77,222.0,200,25
0.076,397.3,222.0,200,25
0.075,404.8,222.0,200,25
0.074,394.55,222.0,200,25
0.072,378.21,222.0,200,25
0.071,361.42,222.0,200,25
0.07,349.38,222.0,200,25
0.071,332.07,222.0,200,25
0.07,315.85,222.0,200,25
0.068,306.34,222.0,200,25
0.067,312.8,222.0,200,25
0.065,336.37,222.0,200,25
0.063,363.43,222.0,200,25
0.062,383.78,222.0,200,25
0.062,386.97,222.0,200,25
0.061,376.41,222.0,200,25
0.062,362.13,222.0,200,25
0.062,352.64,222.0,200,25
0.062,342.67,222.0,200,25
0.062,328.47,222.0,200,25
0.061,310.11,222.0,200,25
0.059,302.07,222.0,200,25
0.057,309.03,222.0,200,25
0.055,331.87,222.0,200,25
0.054,360.43,222.0,200,25
0.053,376.25,222.0,200,25
0.053,376.06,222.0,200,25
0.051,360.17,222.0,200,25
0.051,343.42,222.0,200,25
0.05,329.06,222.0,200,25
0.049,317.26,222.0,200,25
0.047,298.66,222.0,200,25
0.045,278.67,222.0,200,25
0.043,269.84,222.0,200,25
0.042,281.14,222.0,200,25
0.041,307.18,222.0,200,25
0.041,338.96,222.0,200,25
0.042,357.3,222.0,200,25
0.042,355.13,222.0,200,25
0.042,338.61,222.0,200,25
0.041,318.95,222.0,200,25
0.039,302.79,222.0,200,25
0.037,288.56,222.0,200,25
0.036,269.82,222.0,200,25
0.035,253.85,222.0,200,25
0.034,250.15,222.0,200,25
0.033,262.74,222.0,200,25
0.032,290.4,222.0,200,25
0.032,316.2,222.0,200,25
0.031,330.37,222.0,200,25
0.03,325.74,222.0,200,25
0.028,303.17,222.0,200,25
0.026,278.18,222.0,200,25
0.024,255.98,222.0,200,25
0.023,240.33,222.0,200,25
0.022,224.92,222.0,200,25
0.022,211.22,222.0,200,25
0.021,206.52,222.0,200,25
0.021,215.29,222.0,200,25
0.021,238.13,222.0,200,25
0.021,262.21,222.0,200,25
0.02,276.01,222.0,200,25
0.019,271.13,222.0,200,25
0.017,245.63,222.0,200,25
0.016,215.73,222.0,200,25
0.014,193.38,222.0,200,25
0.014,177.84,222.0,200,25
0.014,166.98,222.0,200,25
0.014,157.56,222.0,200,25
0.013,152.17,222.0,200,25
0.013,153.69,222.0,200,25
0.012,158.78,222.0,200,25
0.01,168.42,222.0,200,25
0.01,172.9,222.0,200,25
0.008,164.62,222.0,200,25
0.006,138.12,222.0,200,25
0.005,101.43,222.0,200,25
0.004,73.09,222.0,200,25
0.004,58.75,222.0,200,25
0.004,51.87,222.0,200,25
0.005,43.18,222.0,200,25
0.004,25.76,222.0,200,25
0.002,1.98,222.0,200,25
0.0,-20.52,222.0,200,25
-0.002,-28.84,222.0,200,25
-0.002,-24.6,222.0,200,25
-0.003,-9.22,222.0,200,25
-0.003,-3.28,222.0,200,25
-0.003,-13.59,222.0,200,25
-0.004,-40.7,222.0,200,25
-0.005,-73.24,222.0,200,25
-0.006,-110.77,222.0,200,25
-0.007,-150.13,222.0,200,25
-0.009,-184.78,222.0,200,25
-0.011,-210.71,222.0,200,25
-0.013,-225.44,222.0,200,25
-0.014,-224.32,222.0,200,25
-0.015,-206.53,222.0,200,25
-0.014,-181.33,222.0,200,25
-0.014,-167.53,222.0,200,25
-0.015,-178.18,222.0,200,25
-0.017,-211.13,222.0,200,25
-0.018,-252.53,222.0,200,25
-0.02,-293.32,222.0,200,25
-0.021,-327.85,222.0,200,25
-0.022,-352.94,222.0,200,25
-0.023,-367.58,222.0,200,25
-0.025,-372.08,222.0,200,25
-0.026,-368.02,222.0,200,25
-0.028,-360.06,222.0,200,25
-0.029,-349.39,222.0,200,25
-0.031,-340.61,222.0,200,25
-0.032,-339.65,222.0,200,25
-0.033,-347.1,222.0,200,25
-0.035,-360.76,222.0,200,25
-0.035,-376.27,222.0,200,25
-0.036,-397.72,222.0,200,25
-0.035,-417.37,222.0,200,25
-0.035,-431.35,222.0,200,25
-0.035,-434.25,222.0,200,25
-0.035,-427.51,222.0,200,25
-0.037,-420.26,222.0,200,25
-0.039,-412.13,222.0,200,25
-0.04,-402.56,222.0,200,25
-0.042,-387.31,222.0,200,25
-0.043,-372.39,222.0,200,25
-0.044,-363.56,222.0,200,25
-0.045,-363.64,222.0,200,25
-0.045,-380.7,222.0,200,25
-0.046,-409.56,222.0,200,25
-0.046,-443.09,222.0,200,25
-0.047,-467.17,222.0,200,25
-0.049,-475.9,222.0,200,25
-0.05,-466.47,222.0,200,25
-0.052,-453.29,222.0,200,25
-0.054,-439.92,222.0,200,25
-0.055,-422.5,222.0,200,25
-0.056,-406.19,222.0,200,25
-0.057,-388.18,222.0,200,25
-0.058,-379.15,222.0,200,25
-0.06,-380.44,222.0,200,25
-0.062,-401.11,222.0,200,25
-0.064,-434.65,222.0,200,25
-0.065,-473.64,222.0,200,25
-0.066,-497.71,222.0,200,25
-0.067,-500.37,222.0,200,25
-0.068,-484.88,222.0,200,25
-0.068,-462.64,222.0,200,25
-0.069,-446.0,222.0,200,25
-0.069,-433.42,222.0,200,25
-0.069,-418.05,222.0,200,25
-0.07,-400.68,222.0,200,25
-0.071,-386.84,222.0,200,25
-0.074,-380.71,222.0,200,25
-0.074,-388.95,222.0,200,25
-0.075,-412.97,222.0,200,25
-0.075,-446.91,222.0,200,25
-0.075,-478.37,222.0,200,25
-0.075,-494.78,222.0,200,25
-0.076,-489.1,222.0,200,25
-0.077,-471.83,222.0,200,25
-0.08,-452.2,222.0,200,25
-0.082,-439.04,222.0,200,25
-0.084,-426.11,222.0,200,25
-0.085,-410.93,222.0,200,25
-0.086,-397.11,222.0,200,25
-0.087,-384.15,222.0,200,25
-0.088,-381.0,222.0,200,25
-0.088,-392.9,222.0,200,25
-0.088,-421.45,222.0,200,25
-0.088,-459.32,222.0,200,25
-0.089,-486.43,222.0,200,25
-0.09,-491.31,222.0,200,25
-0.092,-474.61,222.0,200,25
-0.094,-450.35,222.0,200,25
-0.095,-433.31,222.0,200,25
-0.096,-414.91,222.0,200,25
-0.096,-403.18,222.0,200,25
-0.096,-387.78,222.0,200,25
-0.097,-373.83,222.0,200,25
-0.099,-364.85,222.0,200,25
-0.101,-369.35,222.0,200,25
-0.103,-387.34,222.0,200,25
-0.104,-420.28,222.0,200,25
-0.105,-454.16,222.0,200,25
-0.106,-477.9,222.0,200,25
-0.106,-475.78,222.0,200,25
-0.106,-457.81,222.0,200,25
-0.108,-433.11,222.0,200,25
-0.109,-411.89,222.0,200,25
-0.111,-396.6,222.0,200,25
-0.112,-385.11,222.0,200,25
-0.113,-369.4,222.0,200,25
-0.114,-353.96,222.0,200,25
-0.116,-343.48,222.0,200,25
-0.116,-344.8,222.0,200,25
-0.117,-359.88,222.0,200,25
-0.117,-391.12,222.0,200,25
-0.117,-425.06,222.0,200,25
-0.118,-451.76,222.0,200,25
-0.119,-455.08,222.0,200,25
-0.121,-438.48,222.0,200,25
-0.123,-414.44,222.0,200,25
-0.125,-392.66,222.0,200,25
-0.126,-380.32,222.0,200,25
-0.126,-370.62,222.0,200,25
-0.126,-359.74,222.0,200,25
-0.126,-346.67,222.0,200,25
-0.127,-336.89,222.0,200,25
-0.128,-334.73,222.0,200,25
-0.13,-347.32,222.0,200,25
-0.131,-372.17,222.0,200,25
-0.133,-407.81,222.0,200,25
-0.134,-436.13,222.0,200,25
-0.134,-447.02,222.0,200,25
-0.135,-437.47,222.0,200,25
-0.136,-416.94,222.0,200,25
-0.136,-400.35,222.0,200,25
-0.136,-387.39,222.0,200,25
-0.137,-378.76,222.0,200,25
-0.137,-368.57,222.0,200,25
-0.137,-356.54,222.0,200,25
-0.138,-345.78,222.0,200,25
-0.14,-341.81,222.0,200,25
-0.142,-348.35,222.0,200,25
-0.143,-366.02,222.0,200,25
-0.143,-394.85,222.0,200,25
-0.144,-429.3,222.0,200,25
-0.144,-453.72,222.0,200,25
-0.144,-455.35,222.0,200,25
-0.146,-442.33,222.0,200,25
-0.147,-419.73,222.0,200,25
-0.149,-401.42,222.0,200,25
-0.152,-391.04,222.0,200,25
-0.154,-382.16,222.0,200,25
-0.156,-372.99,222.0,200,25
-0.157,-360.96,222.0,200,25
-0.157,-348.96,222.0,200,25
-0.158,-344.42,222.0,200,25
-0.155,-433.84,222.0,200,25
-0.154,-462.72,222.0,200,25
-0.153,-472.91,222.0,200,25
-0.153,-462.61,222.0,200,25
-0.153,-438.6,222.0,200,25
-0.153,-417.1,222.0,200,25
-0.153,-401.43,222.0,200,25
-0.154,-389.14,222.0,200,25
