200N,,,440N,,,660N,,,880N,,,1100N,WARMUP?,,1100N,
SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N],,SA [deg],Fy [N]
0.02,23.27,,0.06,46.08,,0.02,43.53,,0.03,57.42,,0.03,59.12,,0.018,59.14
0.07,32.36,,0.06,59.7,,0.05,62.21,,0.07,78.04,,0.06,76.55,,0.077,79.75
0.1,42.06,,0.11,76.36,,0.08,79.68,,0.09,98.09,,0.08,92.94,,0.086,100.46
0.15,52.82,,0.17,89.85,,0.14,97.8,,0.15,119.63,,0.12,111.68,,0.135,121.34
0.16,61.11,,0.21,104.13,,0.18,115.28,,0.19,138.84,,0.18,130.84,,0.171,138.51
0.22,68.13,,0.27,119.19,,0.21,133.35,,0.22,158.32,,0.21,153.48,,0.245,155.13
0.25,76.27,,0.28,132.21,,0.24,150.87,,0.27,178.24,,0.25,174.77,,0.252,175.11
0.3,84.7,,0.32,144.68,,0.31,169.66,,0.29,198.48,,0.29,196.91,,0.323,195.09
0.35,93.51,,0.39,159.36,,0.33,188.1,,0.36,218.52,,0.35,221.04,,0.356,218.5
0.38,102.33,,0.42,172.71,,0.36,208.44,,0.39,239.62,,0.4,243.21,,0.399,240.49
0.44,112.56,,0.44,187.84,,0.43,226.33,,0.46,259.73,,0.45,266.05,,0.44,263.96
0.47,124.43,,0.5,204.96,,0.45,244.24,,0.48,279.45,,0.47,286.16,,0.475,288.1
0.52,136.36,,0.53,220.49,,0.51,261.34,,0.53,299.64,,0.52,306.82,,0.529,311.61
0.57,147.78,,0.58,235.57,,0.55,278.77,,0.57,318.87,,0.56,325.57,,0.562,330.14
0.6,160.41,,0.63,251.64,,0.61,295.77,,0.6,338.05,,0.61,346.12,,0.608,352.36
0.65,168.95,,0.68,266.45,,0.63,312.56,,0.66,357.47,,0.64,366.86,,0.656,371.7
0.68,178.72,,0.7,280.69,,0.67,330.51,,0.7,376.43,,0.69,387.43,,0.7,390.52
0.71,185.4,,0.74,294.66,,0.72,347.16,,0.74,395.52,,0.72,408.21,,0.719,408.99
0.74,192.07,,0.79,307.59,,0.74,366.65,,0.78,416.49,,0.76,428.68,,0.754,430.38
0.8,198.44,,0.84,322.62,,0.8,385.85,,0.8,436.61,,0.82,451.52,,0.811,448.96
0.84,205.41,,0.86,336.41,,0.83,405.59,,0.84,455.1,,0.84,472.96,,0.85,471.54
