Slip Angle [deg],Lateral Force [N],Normal Load [N],Camber Angle [deg],Tyre Pressure [kPa],Temperature [C]
0.02,23.27,200.0,0,200,25
0.07,32.36,200.0,0,200,25
0.1,42.06,200.0,0,200,25
0.15,52.82,200.0,0,200,25
0.16,61.11,200.0,0,200,25
0.22,68.13,200.0,0,200,25
0.25,76.27,200.0,0,200,25
0.3,84.7,200.0,0,200,25
0.35,93.51,200.0,0,200,25
0.38,102.33,200.0,0,200,25
0.44,112.56,200.0,0,200,25
0.47,124.43,200.0,0,200,25
0.52,136.36,200.0,0,200,25
0.57,147.78,200.0,0,200,25
0.6,160.41,200.0,0,200,25
0.65,168.95,200.0,0,200,25
0.68,178.72,200.0,0,200,25
0.71,185.4,200.0,0,200,25
0.74,192.07,200.0,0,200,25
0.8,198.44,200.0,0,200,25
0.84,205.41,200.0,0,200,25
0.86,215.29,200.0,0,200,25
0.9,222.85,200.0,0,200,25
0.96,232.78,200.0,0,200,25
1.01,242.83,200.0,0,200,25
1.04,253.93,200.0,0,200,25
1.09,260.68,200.0,0,200,25
1.12,269.64,200.0,0,200,25
1.15,275.46,200.0,0,200,25
1.2,279.1,200.0,0,200,25
1.22,283.53,200.0,0,200,25
1.27,287.56,200.0,0,200,25
1.32,294.9,200.0,0,200,25
1.34,303.18,200.0,0,200,25
1.4,310.46,200.0,0,200,25
1.42,317.89,200.0,0,200,25
1.46,326.73,200.0,0,200,25
1.5,334.89,200.0,0,200,25
1.56,340.87,200.0,0,200,25
1.58,346.75,200.0,0,200,25
1.62,350.49,200.0,0,200,25
1.64,353.04,200.0,0,200,25
1.7,354.58,200.0,0,200,25
1.75,355.55,200.0,0,200,25
1.77,356.67,200.0,0,200,25
1.78,361.02,200.0,0,200,25
1.86,367.26,200.0,0,200,25
1.89,374.4,200.0,0,200,25
1.96,382.64,200.0,0,200,25
1.98,390.94,200.0,0,200,25
2.01,395.9,200.0,0,200,25
2.08,398.6,200.0,0,200,25
2.1,399.16,200.0,0,200,25
2.15,395.05,200.0,0,200,25
2.21,393.7,200.0,0,200,25
2.24,393.08,200.0,0,200,25
2.28,397.16,200.0,0,200,25
2.3,405.58,200.0,0,200,25
2.35,415.78,200.0,0,200,25
2.41,423.8,200.0,0,200,25
2.44,432.7,200.0,0,200,25
2.48,436.01,200.0,0,200,25
2.5,439.03,200.0,0,200,25
2.54,437.41,200.0,0,200,25
2.6,433.07,200.0,0,200,25
2.62,429.03,200.0,0,200,25
2.66,428.72,200.0,0,200,25
2.68,430.21,200.0,0,200,25
2.72,436.18,200.0,0,200,25
2.78,446.14,200.0,0,200,25
2.81,455.89,200.0,0,200,25
2.86,464.39,200.0,0,200,25
2.88,472.76,200.0,0,200,25
2.92,476.05,200.0,0,200,25
